n,margin,constant,svm_error
100,0.007541432864375482,1.0,0.65
100,0.007128442760117482,1.0,0.8
100,0.006438939653207742,1.0,0.5
100,0.007999653260597891,1.0,0.5
100,0.0014461258260601902,1.0,0.7
100,0.006426575921733452,1.0,0.6
100,0.009554439365836689,1.0,0.55
100,0.0013757920212703625,1.0,0.5
100,0.009141890663784255,1.0,0.55
100,0.013953291642828457,1.0,0.45
100,0.009949195546454136,1.0,0.55
100,0.0004464358270996797,1.0,0.65
100,0.02585850086541092,1.0,0.5
100,0.008618392568087684,1.0,0.4
100,0.000654569031342013,1.0,0.3
100,0.01925575179744799,1.0,0.7
100,0.015601205162949992,1.0,0.75
100,0.016885126725933928,1.0,0.65
100,0.00866614278860899,1.0,0.3
100,0.005438075056296447,1.0,0.5
100,0.014605296408036744,1.0,0.55
100,0.00788406182074792,1.0,0.5
100,0.018768458832322605,1.0,0.6
100,0.0057173210831358,1.0,0.75
100,0.0007320621004721139,1.0,0.55
100,0.004401603076404764,1.0,0.5
100,0.0008582121622340335,1.0,0.5
100,0.007757153326433501,1.0,0.4
100,0.006897976011808583,1.0,0.55
100,0.013016247932819119,1.0,0.6
100,0.005524901451930407,1.0,0.55
100,0.0015733536148548155,1.0,0.5
100,0.0015161827058604192,1.0,0.45
100,0.00978769243056439,1.0,0.45
100,0.0019801212681683786,1.0,0.8
100,0.003572213922722741,1.0,0.45
100,0.0036706021112247454,1.0,0.45
100,0.004716032266017442,1.0,0.75
100,0.014514640173706487,1.0,0.4
100,0.0022324086642299657,1.0,0.5
100,0.013501011298900129,1.0,0.5
100,0.0005576195024092787,1.0,0.4
100,0.005213831198882254,1.0,0.55
100,0.005171235988590257,1.0,0.5
100,0.02787663620077113,1.0,0.45
100,0.0012413029210078263,1.0,0.5
100,0.000390543583694603,1.0,0.35
100,0.002433700640266951,1.0,0.65
100,0.005129198875886987,1.0,0.6
100,0.00020061069391811835,1.0,0.55
100,0.004089644248842212,1.0,0.5
100,0.004249734477306569,1.0,0.45
100,0.0035710447703173878,1.0,0.6
100,0.005536177478576133,1.0,0.4
100,0.013283111485806798,1.0,0.45
100,0.010491035701561758,1.0,0.55
100,0.0047537180549002585,1.0,0.5
100,0.006177424740905601,1.0,0.8
100,0.002261962266865609,1.0,0.5
100,0.01657396856698138,1.0,0.65
100,0.00745053898420747,1.0,0.5
100,0.010561535636585104,1.0,0.4
100,0.0005514239635778862,1.0,0.65
100,0.0023723740966667315,1.0,0.45
100,0.02310354112891557,1.0,0.45
100,0.010665095047231876,1.0,0.7
100,0.007145892561992826,1.0,0.5
100,0.008843890084545456,1.0,0.6
100,0.018583638365600053,1.0,0.55
