n,margin,constant,svm_error
100,0.0,1,0.5
100,0.0,1,0.6
100,0.0,1,0.55
100,0.0,1,0.55
100,0.0,1,0.55
100,0.0,1,0.7
100,0.0,1,0.5
100,0.0,1,0.8
100,0.0,1,0.65
100,0.0,1,0.55
100,0.0,1,0.6
100,0.0,1,0.55
100,0.0,1,0.3
100,0.0,1,0.6
100,0.0,1,0.45
100,0.0,1,0.4
100,0.0,1,0.4
100,0.0,1,0.4
100,0.0,1,0.75
100,0.0,1,0.5
100,0.0,1,0.5
100,0.0,1,0.5
100,0.0,1,0.55
100,0.0,1,0.45
100,0.0,1,0.65
100,0.0,1,0.55
100,0.0,1,0.45
100,0.0,1,0.45
100,0.0,1,0.6
100,0.0,1,0.45
100,0.0,1,0.55
100,0.0,1,0.4
100,0.0,1,0.65
100,0.0,1,0.5
100,0.0,1,0.55
100,0.0,1,0.6
100,0.0,1,0.7
100,0.0,1,0.35
100,0.0,1,0.4
100,0.0,1,0.35
100,0.0,1,0.6
100,0.0,1,0.7
100,0.0,1,0.55
100,0.0,1,0.65
100,0.0,1,0.55
100,0.0,1,0.45
100,0.0,1,0.65
100,0.0,1,0.7
100,0.0,1,0.35
100,0.0,1,0.65
100,0.0,1,0.5
100,0.0,1,0.65
100,0.0,1,0.45
100,0.0,1,0.7
100,0.0,1,0.6
100,0.0,1,0.6
100,0.0,1,0.45
100,0.0,1,0.6
100,0.0,1,0.4
100,0.0,1,0.55
100,0.0,1,0.6
100,0.0,1,0.6
100,0.0,1,0.5
100,0.0,1,0.55
100,0.0,1,0.7
100,0.0,1,0.7
100,0.0,1,0.65
100,0.0,1,0.65
100,0.0,1,0.45
100,0.0,1,0.5
100,0.0,1,0.5
100,0.0,1,0.65
100,0.0,1,0.45
100,0.0,1,0.5
100,0.0,1,0.4
100,0.0,1,0.65
100,0.0,1,0.6
100,0.0,1,0.8
100,0.0,1,0.35
100,0.0,1,0.6
100,0.0,1,0.5
100,0.0,1,0.55
100,0.0,1,0.5
100,0.0,1,0.55
100,0.0,1,0.6
100,0.0,1,0.55
100,0.0,1,0.7
100,0.0,1,0.6
100,0.0,1,0.6
100,0.0,1,0.6
100,0.0,1,0.55
100,0.0,1,0.5
100,0.0,1,0.65
100,0.0,1,0.8
100,0.0,1,0.7
100,0.0,1,0.8
100,0.0,1,0.65
100,0.0,1,0.6
100,0.0,1,0.8
100,0.0,1,0.45
100,0.1,1,0.55
100,0.1,1,0.5
100,0.1,1,0.65
100,0.1,1,0.55
100,0.1,1,0.5
100,0.1,1,0.3
100,0.1,1,0.7
100,0.1,1,0.55
100,0.1,1,0.6
100,0.1,1,0.45
100,0.1,1,0.55
100,0.1,1,0.6
100,0.1,1,0.55
100,0.1,1,0.4
100,0.1,1,0.55
100,0.1,1,0.4
100,0.1,1,0.65
100,0.1,1,0.65
100,0.1,1,0.5
100,0.1,1,0.45
100,0.1,1,0.55
100,0.1,1,0.4
100,0.1,1,0.6
100,0.1,1,0.45
100,0.1,1,0.5
100,0.1,1,0.6
100,0.1,1,0.65
100,0.1,1,0.5
100,0.1,1,0.45
100,0.1,1,0.55
100,0.1,1,0.35
100,0.1,1,0.4
100,0.1,1,0.45
100,0.1,1,0.6
100,0.1,1,0.4
100,0.1,1,0.75
100,0.1,1,0.65
100,0.1,1,0.55
100,0.1,1,0.55
100,0.1,1,0.45
100,0.1,1,0.6
100,0.1,1,0.5
100,0.1,1,0.5
100,0.1,1,0.55
100,0.1,1,0.55
100,0.1,1,0.6
100,0.1,1,0.65
100,0.1,1,0.45
