n,train_ratio,point_param,machine_param,test_error
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.0,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.05,0.0,-1.0
1000,0.2,0.1,0.0,-1.0
1000,0.2,0.1,0.0,-1.0
1000,0.2,0.1,0.0,-1.0
1000,0.2,0.1,0.0,-1.0
1000,0.2,0.1,0.0,-1.0
1000,0.2,0.1,0.0,-1.0
1000,0.2,0.1,0.0,-1.0
1000,0.2,0.1,0.0,-1.0
1000,0.2,0.1,0.0,-1.0
1000,0.2,0.1,0.0,-1.0
1000,0.2,0.1,0.0,-1.0
1000,0.2,0.1,0.0,-1.0
1000,0.2,0.1,0.0,-1.0
1000,0.2,0.1,0.0,-1.0
1000,0.2,0.1,0.0,-1.0
1000,0.2,0.1,0.0,-1.0
1000,0.2,0.1,0.0,-1.0
1000,0.2,0.1,0.0,-1.0
1000,0.2,0.1,0.0,-1.0
1000,0.2,0.1,0.0,-1.0
1000,0.2,0.1,0.0,-1.0
1000,0.2,0.1,0.0,-1.0
1000,0.2,0.1,0.0,-1.0
1000,0.2,0.1,0.0,-1.0
1000,0.2,0.1,0.0,-1.0
1000,0.2,0.1,0.0,-1.0
1000,0.2,0.1,0.0,-1.0
1000,0.2,0.1,0.0,-1.0
1000,0.2,0.1,0.0,-1.0
1000,0.2,0.1,0.0,-1.0
1000,0.2,0.1,0.0,-1.0
1000,0.2,0.1,0.0,-1.0
