n,train_ratio,point_param,machine_param,test_error
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
1000,0.1,-0.5,0.0,-1.0
